title,description,material,URL,item,target
Natural Cotton Tote - Cute Bug Designs,"These fun bug bags are made from heavyweight 100% recycled cotton canvas making them durable and strong totes for anything from beach or picnic items to gym clothes or even groceries! 

Each bag is printed on one side with the phrase ""b.y.o.b bring your own bug"" and one of the 7 different whimsical bug designs.",recycled cotton canvas,http://www.greenhome.com/green-products-home/reusable-bags-totes/shopping-bags-totes/natural-cotton-tote-bug-design-5.html,Bag,1
COMMUTER Recycled Bike Tube Backpack,"Perfect for all your eco-adventures, this recycled bicycle inner tube backpack is amazingly durable and super eco-hip. The Commuter is our light and fast streamlined backpack for your day-to-day travels. It is perfect for a quick hike, a ride to class, or commute to the office. This pack will keep your goods protected with stormproof, upcycled bicycle inner tubes on the flap and durable nylon. Expandable to fit more gear.","Upcycled Bicycle Inner Tubes
Upcycled Street SIgn Scraps
10oz Vinyl Waterproof Tarp
Aerospace Mesh
Foam padding
Nylon Teeth with Zine Zipper
Hook & Loop
Nylon Fabric and Nylon Hardware",http://www.greenhome.com/green-products-home/reusable-bags-totes/backpacks/recycled-bike-tube-backpack.html,Bag,1
Hemp Denim Zipper Bag,"Organize your small stuff with these grab and go plastic-free natural pouches. They are fully lined, washable and available in two sizes. Made from 60% Hemp 40% Certified Organic Cotton.",60% Hemp 40% Cotton,https://www.zeromarketplace.com/collections/household/products/hempdenimzipperbag,Bag,1
Jute Tote (compostable),"Stardust Bags give you the opportunity to go plastic-free. Each bag is a refined blend of Jute with a little bit of cotton for added durability. It is 100% free of additives, toxic plastics, liners and chemicals. Good for the environment and good for you! Strong, durable, collapsible & compostable! They will last for years but once you compost them they will return to soil in 3-6 months depending on your climate. Help reduce toxic waste and support a healthier environment for future generations. Raise your standard to the Stardust Standard.",Jute with a little bit of cotton,https://www.zeromarketplace.com/collections/household/products/jutetote,Bag,1
Muslin Drawstring Bag,"A cool alternative to a small paper bag. Can be used for bulk food, produce, or even making nut milk! Muslin!",Muslin,https://www.zeromarketplace.com/collections/household/products/8x10muslindrawstringbag,Bag,1
Organic Cloth Bulk Bag,,,https://www.zeromarketplace.com/collections/household/products/organicclothbulkbag,Bag,1
Recycled Cotton Canvas Lunch Bag,,Cotton,https://www.zeromarketplace.com/collections/household/products/cottoncanvaslunchbag,Bag,1
Reusable Bulk Bags - WowE,These bags are perfect for all your bulk shopping needs and are great to consolidate fruits and veggies while at the store. Organic cotton will always be better for you and the planet than plastic bags. Make the switch with these bags from WowE!,muslin or mesh,https://www.zeromarketplace.com/collections/household/products/reusablebulkbags-wowe,Bag,1
JOYRIDE Upcycled Roll Top Backpack,"The Joyride is designed for the person who wants the most eco-friendly, colorful and durable roll-top backpack. It is built for hauling storm proof loads either in the woods or the hoods. For quick access, the top opens and closes with a flap and with its roll closure system, you can button down the hatches and roll up tight. Perfect for those that want a simple and extremely durable mid-sized storm-proof pack. 

Made from the ultimate hybridization of upcycled, recycled and conventional materials. We started with colorful upcycled industrial fabrics, then added upcycled reflective street signs, upcycled new shoulder harnesses and some new fabrics for finish. The Joyride's combination of upcycled durable materials and performance build, give this pack the technical aspects that will keep your gear close and dry. *Note: Photos of the bags may not reflect the actual color that you'll receive in the mail. Each one is made with upcycled materials, so colors and prints will vary. 
","Upcycled Multi-Colored Industrial Fabrics
Upcycled Street Sign Scraps
10 oz Vinyl Waterproof Tarp
Aerospace Mesh
Foam Padding
Nylon Teeth with Zinc Zipper
Hook and Loop",http://www.greenhome.com/green-products-home/reusable-bags-totes/messenger-commuter-bags/joyride-upcycled-roll-top-backpack.html,,1
Reusable Tea Bag,Reusable tea bags! Made with organic cotton and lots of love. ,cotton,https://www.zeromarketplace.com/collections/household/products/reusableteabag-2ct,Bag,1
Wasara Compostable Tumbler - Small,"This highly sustainable brand is 100% tree-free, made from sugar cane, bamboo, and reed pulp. It’s easily compostable and certified to break down into soil, even in home composting systems. These durable tableware pieces are perfect single-use items.
The WASARA Small Tumbler is part of the complete WASARA line, which elevates disposable tableware to a whole new level. Offering the best in Japanese design, WASARA products fit comfortably in the hand, with an elegant texture and sturdy quality that are unparalleled in the category.","100% tree-free, renewable materials, specifically, bamboo and bagasse",http://www.greenhome.com/green-products-home/kitchen-goods/drinkware/wasara-compostable-tumbler-small.html,Bottle,1
Wasara Compostable Tumbler - Large,"This highly sustainable brand is 100% tree-free, made from sugar cane, bamboo, and reed pulp. It’s easily compostable and certified to break down into soil, even in home composting systems. These durable tableware pieces are perfect single-use items.
The WASARA Large Tumbler is part of the complete WASARA line, which elevates disposable tableware to a whole new level. Offering the best in Japanese design, WASARA products fit comfortably in the hand, with an elegant texture and sturdy quality that are unparalleled in the category.","100% tree-free, renewable materials, specifically, bamboo and bagasse",http://www.greenhome.com/green-products-home/kitchen-goods/drinkware/wasara-compostable-tumbler-large.html,Bottle,1
Soap Bag,"Soap bags help with making your soap bar last longer and works as an exfoliate/scrubby for washing. This can also be used as your ""soap catcher"" for the little slivers of bar soap as they get down to the end of bar. Squeeze it out in between uses and allow to dry for best results! ",Natural Cotton,https://www.zeromarketplace.com/collections/household/products/soapbag,Bag,1
Klean Kanteen Insulated Tumblers,"Our high performance double-wall vacuum insulation will keep drinks hot for 2 hours and iced for 10 hours. 

We electropolish the interior, a safe and non-toxic process, to make it easy to clean. Our included Tumbler Lid keeps splashing to a minimum and fits all our Insulated Tumblers and Steel Pints.",stainless steel,http://www.greenhome.com/green-products-home/kitchen-goods/drinkware/klean-kanteen-insulated-tumblers-8oz.html,Bottle,1
Tote Bag,"Want a bag that inspires others around you? This tote bag is made from recycled cotton canvas and very clearly states that you are making an impact! Options range from a straight-forward ""ZERO WASTE BAG"" as a reminder for yourself as well as a spark of thought for others who see it and read it, and a ZERO market logo bag. Inspire change!",cotton,https://www.zeromarketplace.com/collections/household/products/zerowastebagtote,Bag,1
Klean Kanteen Insulated Growler,"Our 32oz Stainless Steel Vacuum Insulated Growler bottle was designed with high-performance and will keep beverages at their tap-fresh temperature for hours on end. The Insulated Growler 32oz will keep drinks cold for 30 hours and iced for 80 hours. Long enough to fill up at the tap and drink the next day, still cold, fresh and delicious. ",stainless steel,http://www.greenhome.com/green-products-home/kitchen-goods/drinkware/32oz-insulated-growler-brushed-stainless.html,Bottle,1
Produce Bags,"Reusable drawstring Produce Bags are an easy alternative for single use plastic fruit and vegetable bags when shopping. Each set of 8 is perfectly tucked inside a brightly colored pouch with a clip to keep close by and handy. Made from BPA free recycled plastic bottles, washable - warm hand wash, holds up to 4 pounds of produce per bag! Color selection is random.",BPA free recycled plastic bottles,https://www.zeromarketplace.com/collections/household/products/onyaproducebags-setof8,Bag,1
Kanteen Wide Insulated w/ Stainless Loop Cap,"Klean Kanteen is a reusable, risk-free stainless steel container",stainless steel,http://www.greenhome.com/green-products-home/travel-recreation/water-bottle-accessories/kanteen-wide-insulated-w-stainless-loop-cap.html,Bottle,1
Kanteen Wide w/ Stainless Loop Cap,"Klean Kanteen is a reusable, risk-free stainless steel container ",stainless steel,http://www.greenhome.com/green-products-home/travel-recreation/water-bottle-accessories/kanteen-wide-w-stainless-loop-cap.html,Bottle,1
Kanteen Classic,"Klean Kanteen is a reusable, risk-free stainless steel container ",stainless steel,http://www.greenhome.com/green-products-home/travel-recreation/water-bottle-accessories/kanteen-classic-w-loop-cap.html,Bottle,1
Miir Growler,"Grab this sleek and stylish 64oz MiiR Vacuum Insulated Growler to take to your next outing. Featuring a buckle lid that locks in place when open and a handle for easy carrying. This growler keeps your beverages cold for 24+ hours, or hot up to 12 hours too! ",stainless steel,https://www.zeromarketplace.com/collections/growlers-and-drinkware/products/miirgrowler,Bottle,1
"Kid Kanteen Sippy
","Klean Kanteen is a reusable, risk-free stainless steel container ",stainess steel,http://www.greenhome.com/green-products-home/travel-recreation/water-bottle-accessories/kid-kanteen-sippy.html,Bottle,1
Kanteen Reflect w/ Bamboo Cap,"Beautiful in its simplicity and deliberate in its design, the Reflect is handcrafted from stainless steel, food-grade silicone and sustainably harvested bamboo. Just three materials, unified for form and function. The first of its kind.","stainless steel, food-grade silicone and sustainably harvested bamboo",http://www.greenhome.com/green-products-home/travel-recreation/water-bottle-accessories/kanteen-reflect-w-bamboo-cap.html,Bottle,1
Tree Tribe Bottle,"Tree Tribe Water Bottles are double layered for insulation - keeping cold water cold and hot liquids hot - with no condensation or outside temperature change. They are great to use for water, coffee, tea, juice, wine... on hikes, gym, or as your daily drinking cup. These eco friendly bottles are made with food grade stainless steel - no plastic anywhere. AND.......10 trees are planted for every bottle sold. Tree Tribe partners with organizations that plant trees to naturally replenish the environment. Their main contribution goes to planting forest gardens - diverse plots of trees and supporting species that help communities self-sustain by producing food, resources, and income, while strengthening the local ecosystem.Guaranteed to last a lifetime!",stainless steel,https://www.zeromarketplace.com/collections/growlers-and-drinkware/products/treetribe,Bottle,1
DOG WASTE BAGS,"Bio Bags dog waste bags are a great way to deal with the problem of pet waste at home or in parks, communities, or other public spaces. Using BioBags takes the mess out of the messiest jobs. BioBags can also help reduce odor and bacterial build-up during collection.BioBags can be readily composted along with organic waste in municipal composting facilities. BioBag products meet the ASTM D6400 standard specification for the labeling of plastics designed to be aerobically composted in municipal or industrial facilities. Please check to make sure facilities are available in your community.","plants, vegetable oils, and compostable polymers",https://www.buygreen.com/collections/2019-compost-bags/products/bio-bag-dog-waste-bags,Bag,1
SANDWICH BAGS,"First of its kind Certified Compostable Resealable Sandwich Bags.  Add BioBag's Compostable Resealable Sandwich Bags to your green kitchen.  Much better than plastic. 
Our BioBags are made without plasticizers or other additives that may be transferred to the food.  This compostable resealable sandwich bags is good for all kinds of foods, including those with high fat and acid content.  Extremely good puncture resistance and elasticity and is FDA Approved !","plants, vegetable oils, and compostable polymers",https://www.buygreen.com/collections/2019-compost-bags/products/bio-bag-sandwich-bags,Bag,1
PRODUCE BAGS,"Bio Bags are made from cornstarch, these bags help to eliminate regular plastic bags from our environment. When disposed, Bio Bags will compost as naturally as food scraps, leaving no harmful residue. No Polyethylene is used in the production of this product. Bio Bags bags are GMO (Genetically Modified Organism) free, certified for use in organic agriculture.","plants, vegetable oils, and compostable polymers",https://www.buygreen.com/collections/2019-compost-bags/products/bio-bag-produce-bags,Bag,1
GREEN GURU,"Designed to be simple and stylish storage solutions, these pouches are made from upcycled bicycle inner tubes. They are a great wallet alternative, cell phone case, spare change container, tool/flat repair kit. Whatever you put inside will stay safe and dry",Upcycled Bicycle Inner Tubes. Nylon Fabric and Nylon Teeth with Zinc Zipper,https://www.buygreen.com/collections/2019-outdoor-active-lifestyle/products/recycled-bike-tube-zip-pouch,Bag,1
SHOPPERS,"If you own a store or sell products, you may find compostable bags are a good alternative to traditional plastic shopping bags.Bio Bags are made from cornstarch, these bags help to eliminate regular plastic bags from our environment. When disposed, Bio Bags will compost as naturally as food scraps, leaving no harmful residue. No Polyethylene is used in the production of this product. ","plants, vegetable oils, and compostable polymers",https://www.buygreen.com/collections/2019-compost-bags/products/bio-bag-shoppers,Bag,1
SPINNER HYDRATION BACKPACK,"The Spinner is designed for the person who wants the most eco-friendly and durable clamshell zipper style hydration backpack. It is built for activity either on the trail or across town. With waterbottle pockets, compression straps and hydration you know this bag is ready to go somewhere. Perfect for those that want a mid-sized backpack engineered for an adventurous life.Made from the ultimate hybridization of upcycled, recycled and conventional materials. We started with 2 upcycled mountain bike inner tubes, then added upcycled jeep top scraps, upcycled reflective street signs, some salvaged fabrics, new shoulder harnesses, and some new fabrics when needed. The Spinner’s combination of upcycled bicycle inner tubes and performance build give this pack the technical aspects that will keep you moving.","Upcycled Bicycle Inner Tubes, Upcycled Jeep Top Vinyl, Nylon, Aerospace Mesh, Upcycled Street Sign Scraps, Nylon Fabric, Foam padding, Nylon Teeth and Zinc Zipper, Nylon and Metal Hardware",https://www.buygreen.com/collections/2019-outdoor-active-lifestyle/products/spinner-hydration-backpack,Bag,1
RUCKUS BIKE TUBE BACKPACK,"The Ruckus is designed for the roving adventurer who plays hard and sets their own experience, yet doesn't want it at the expense of their environment. Made from upcycled bicycle inner tubes and waterproof truck tarpaulin fabric, it’s built to withstand abuse and hold all the gear you need on your daily adventures. This extremely durable, high performance backpack will complement your expeditions in life with its lasting function and sleek style.","Upcycled Bicycle Inner Tubes, Upcycled Shoulder Harness, Truck Tarpaulin Liner, Nylon Fabrics, 60% Recycled PETE Aerospace Mesh, Nylon and Metal Hardware and Upcycled Street Sign Scrap",https://www.buygreen.com/collections/2019-outdoor-active-lifestyle/products/ruckus-bike-tube-backpack,Bag,1
RECYCLED BIKE TUBE ZIP POUCH,"Designed to be simple and stylish storage solutions, these pouches are made from upcycled bicycle inner tubes. They are a great wallet alternative, cell phone case, spare change container, tool/flat repair kit. Whatever you put inside will stay safe and dry. ",Upcycled Bicycle Inner Tubes. Nylon Fabric and Nylon Teeth with Zinc Zipper,https://www.buygreen.com/collections/2019-bike-accessories/products/recycled-bike-tube-zip-pouch,Bag,1
BAMBOOWARE SANTA BARBARA ROUND TUMBLERS,"Our reusable Bambooware product line is a revolutionary dishware thats eco-friendly, biodegradable, beautiful, and durable. The process begins by taking the fiber of bamboo plants five years or older and grinding it into a fine powder. Utilizing a patented process, we mold this material into durable tableware. Each piece of our Bambooware is FDA approved, food safe, and dishwasher safe.",naturally aged bamboo,https://www.buygreen.com/collections/2019-kitchenware-food-service/products/bambooware-round-santa-barbara-tumblers,Bottle,1
BAMBOOWARE SANTA BARBARA ROUND TUMBLER + TOP,"Sturdy, reusable, durable, dishwasher safe, FDA approved and 100% biodegradable. Our Dinnerware is non-toxic and melamine free and made from eco-friendly bamboo powder.
Our reusable BambooWare product line is a revolutionary dishware that is eco-friendly, biodegradable, beautiful and durable.  The process begins by taking the fiber of bamboo plants five years or older and grinding it into a fine powder.  Utilizing a patented process, we mold this material into beautiful, durable, eco-friendly plates, bowls and trays that are all 100% biodegradable.
Each piece of our BambooWare line is FDA approved food safe and can withstand even the toughest industrial dishwashers.  For the first time, BambooWare combines the eco-conscious decision to purchase dinnerware made from Earth-friendly bamboo plants with the natural desire to own dinnerware that is stylish, colorful and durable.",naturally aged bamboo,https://www.buygreen.com/collections/2019-kitchenware-food-service/products/round-santa-barbara-tumbler-top,Bottle,1
GREEN GURU,The Andromeda is an all purpose tote fashioned from sleek banners it boasts a voluminous storage compartment with one interior and one exterior pocket. It has sturdy straps that rest comfortably on your shoulder with a zippered closure. It can be mounted on your rear rack of your bike as a pannier with ease for your quick trips around town.,The Andromeda is an all purpose tote fashioned from sleek banners it boasts a voluminous storage compartment with one interior and one exterior pocket. It has sturdy straps that rest comfortably on your shoulder with a zippered closure. It can be mounted on your rear rack of your bike as a pannier with ease for your quick trips around town.,https://www.buygreen.com/collections/2019-outdoor-active-lifestyle/products/andromeda-large-tote,Bag,1
ATHENA CLUTCH FOR STREET AND BIKE STYLE,"The Athena Clutch is a sensible clutch bag for style and function, on and off your bike. Quickly attach to your bicycle handlebars, top tube, or rear rack and enjoy your ride. It’s sleek look goes with any outfit, dressed up or down for any occasion.","Upcycled Banners, Recycled / Upcycled Bicycle Inner Tubes, Upcycled Reflective Street sign scraps, Nylon Fabric, Nylon Teeth with Zinc Zipper, Hook & Loop, Magnets and Metal D-rings",https://www.buygreen.com/collections/2019-outdoor-active-lifestyle/products/athena-clutch-for-street-and-bike-style,Bag,1